DataSet_Abstract;DataSet_Author;DataSet_PersistentIdentifier_PID;DataSet_PublicationDate;DataSet_RepositoryLink;DataSet_RepositoryName;DataSet_Title;DataSetId;GrantNumber
"";"Calvo, Roxan; Jelier, Benson J.; Katayev, Dmitry; Santschi, Nico";10.1002/cphc.201701339;2018-04-05T00:00:00Z;https://chemistry-europe.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fcphc.201701339&file=cphc201701339-sup-0001-misc_information.pdf;Wiley;Supporting Information for ''Mapping Perfluoroalkyl Effects in Togni‐Type Reagents by Thermolysis'';DF2D5239-D297-49F0-85EA-56D5317369C0;168043
"";"Andreatta, Massimo; Carmona, Santiago";https://doi.org/10.6084/m9.figshare.12478571;2020-06-15T00:00:00Z;https://doi.org/10.6084/m9.figshare.12478571;Figshare;Murine reference single-cell atlas of tumor-infiltrating T cells;10A745CF-AA5A-4EE4-B2AA-1A0D243A4D1D;180010
Data contributing to the findings of Tom WN Walker Konstantin Gavazov Thomas Guillaume Thibault Lambert Pierre Mariotte Devin Routh Constant Signarbieux Sebastián Block Tamara Münkemüller Hanna Nomoto Thomas W Crowther Andreas Richter Alexandre Buttler Jake M Alexander (2022) Lowland plant arrival in alpine ecosystems facilitates a decrease in soil carbon content under experimental climate warmingeLife 11:e78555.https://doi.org/10.7554/eLife.78555;Walker, Tom WN;https://doi.org/10.17605/OSF.IO/S54CH;2021-08-09T00:00:00Z;https://osf.io/s54ch/;Open Science Framework;Lowland plant arrival in alpine ecosystems facilitates a decrease in soil carbon content under experimental climate warming;BCE4D59A-A102-4227-826B-5AF42848DD82;174047
Supplementary data.Weyl semimetals in three-dimensional crystals provide the paradigm example of topologically protected band nodes. It is usually taken for granted that a pair of colliding Weyl points annihilate whenever they carry opposite chiral charges. In stark contrast, here we report that Weyl points in systems symmetric under the composition of time-reversal with a π-rotation are characterized by a non-Abelian topological invariant. The topological charges of the Weyl points are transformed via braid phase factors which arise upon exchange inside symmetric planes of the reciprocal momentum space. We elucidate this process with an elementary two-dimensional tight-binding model implementable in cold-atoms setups and in photonic systems. In three dimensions, interplay of the non-Abelian topology with point-group symmetry is shown to enable topological phase transitions in which pairs of Weyl points may scatter or convert into nodal-line rings. By combining our theoretical arguments with first-principles calculations, we predict that Weyl points occurring near the Fermi level of zirconium telluride (ZrTe) carry non-trivial values of the non-Abelian charge, and that uniaxial compression strain drives a non-trivial conversion of the Weyl points into nodal lines.;"Bouhon, Adrien; Bzdušek, Tomáš; Slager, Robert-Jan; Weng, Hongming; Wu, QuanSheng; Yazyev, Oleg V.";https://doi.org/10.24435/materialscloud:vb-mk;2020-06-09T00:00:00Z;https://doi.org/10.24435/materialscloud:vb-mk;Materials Cloud;Non-Abelian reciprocal braiding of Weyl points and its manifestation in ZrTe;7CECCC8B-FC6E-46BD-A8C3-1B744D7E25BF;185806
Dataset of the weather meteorological data collected during the 4onse project activity.Data from March 2018 until January 2020 of 40 weather stations with 10 minutes resolution about air temperature, air humidity, air pressure, air rainfall, wind speed and direction.The files contain:- a database dump (PostgreSQL/PostGIS)- a istSOS configuration folder;"Cannata, Massimiliano; Imran, Sahid; Mahanama, P.K.S.; Ratanayake, Rangajeewa; Silva, Manoj; Strigaro, Daniele; Sudantha, BH; Warusavitharana, Emeshi; Warusavitharana, Ramesh";10.5281/zenodo.3621598;2020-01-22T00:00:00Z;https://doi.org/10.5281/zenodo.3621598;Zenodo;4onse dataset;1CF1C372-2735-4F18-AB26-80A3548D971A;160906
This dataset contains monthly climatological reports (NOAA style) of all the 4onse stations installed in the Deduru Oya basin in Sri Lanka.;"Cannata, Massimiliano; Mahanama, EKS; Ratanayake, Rangajeewa; Silva, Manoj; Strigaro, Daniele; Sudantha, BH; Warusavitharana, Emshi; Warusavitharana, Ramesh";10.5281/zenodo.3473847;2019-11-25T00:00:00Z;https://doi.org/10.5281/zenodo.3473847;Zenodo;4onse stations monthly reports;E25EDE57-95C0-4857-901A-82A0D323C790;160906
10 Genome assemblies generated - https://www.ncbi.nlm.nih.gov/bioproject/822270/IRIS 313-10059 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936157995.1IRIS 313-12190 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936150925.1IRIS 313-10879 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936157035.1IRIS 313-11786 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936158435.1IRIS 313-11127 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936153055.1IRIS 313-7914 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936157175.1IRIS 313-10314 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936154975.1IRIS 313-11360 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936145055.1IRIS 313-10738 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936157615.1IRIS 313-8554 - https://www.ncbi.nlm.nih.gov/assembly/GCA_936157125.1;Keller, Beat;n.a.;;https://www.ncbi.nlm.nih.gov/bioproject/822270/;NCBI;Genome sequences;15C52E6F-A26F-4BD9-A915-15BF623AFCDD;160877
"IPython notebook with data used for the analysis and generation of plots for the paper ""Performance Testing of istSOS Under High Load Scenarios"".";Cannata, Massimiliano;10.5281/zenodo.3515897;2019-11-22T00:00:00Z;https://doi.org/10.5281/zenodo.3515897;Zenodo;Supplementary Materials to paper: Performance Testing of istSOS Under High Load Scenarios;68C8EEC2-2B74-4C5E-95C9-BFF3913C6CE1;160906
During navigation, animals estimate their position using path integration and landmarks, engaging many brain areas. Whether these areas follow specialized or universal cue integration principles remains incompletely understood. We combine electrophysiology with virtual reality to quantify cue integration across thousands of neurons in three navigation-relevant areas: primary visual (V1), retrosplenial (RSC) and medial entorhinal cortex (MEC). The data contained in this dataset consists of recordings of MEC, RSC or V1, made with Neuropixel probes in mice. Recordings were made while mice performed a simple virtual reality behavior where they had to navigate to run down a virtual hallway to receive a water reward at the end. Detailed description of data below. For more details, please check the paper Distance-tuned neurons drive specialized path integration calculations in medial entorhinal cortex (publication link forthcoming).Each .mat file corresponds to data from one vr session.The title are structured as follows:___.matFor example:AA50_191004_gaincontrast10_1 or npF2_1015_contrasttrack_gainchanges_2Following data is contained in the .mat filessp: structure with information about spike times and cluster identity, with these subfields-dat_path: spikeGLX file name-n_channels_dat: number of recorded channels-dtype: datatype (‘int16’)-sample_rate: spikeGLX sampling rate- st: 1 x n Spikes. Spike time of each spike in ms, synchronized to onset of behavioral session-clu: 1 x n Spikes. Cluster number of each spike-cgs: 1 x n Clusters. Assigned cluster group for each spike cluster: 0: noise, 2: good-cids: 1 X n Clusters. Unique cluster group labels-xcoords: x coordinates of recording sites-ycoords: y coordinates of recording sitespost: vr time in seconds, sampled at 50Hzposx: for each vr time stamp, current position in VR (sampled at 50 Hz), typically from 0-400trial: for each vr time stamp, current trial numbertrial_gain: for each VR trial, applied gain value during that trial (1, 0.8, 0.7, 0.6 or 0.5)trial_contrast: for each VR trial, contrast of landmarks during that triallickt: VR time stamp of individual detected lickslickx: x position in VR for each detected lick.Histology: Only for files starting with np (MEC recordings), manual reconstruction of probe trajecgtory-MEC_entry: x/y/z coordinates of reconstructed entry of probe into MEC, in um in Allen Coordinate frameworkprobe_term: x/y/z coordinates of reconstructed terminal point of probe, in um in Allen Coordinate frameworkanatomy: In files starting with np (MEC recordings) contains information regarding anatomical location for each cluster from manual reconstruction. Subfields differ between MEC sessions (starting with np) and other session. For MEC recordings:-tip_distance: for each cluster, mean distance from tip of electrode-cluster_parent: anatomical label for each cluster-z2: ignore-FinalDepth: ignoreanatomy: In other fiels, contains information regarding anatomical location, reconstructed with the AllenCCF Matlab tool.-cluster_parent: brain region (e.g. VISp for V1) assigned to each cluster-cluster_region: where applicable, more fine grained assignement. (e.g. RSPd2/3 for layer 2/3 of granular Retrosplenial cortex, dorsal part)-tip_distance: distance from probe tip of each cluster-depth: for each cluster, distance from brain surface;Attinger, Alexander;https://doi.org/10.25452/figshare.plus.15041316;2021-07-29T00:00:00Z;https://doi.org/10.25452/figshare.plus.15041316;Figshare;"VR Data Neuropixel supporting ""Distance-tuned neurons drive specialized path integration calculations in medial entorhinal cortex""";65BBE76D-CDD3-4AD1-8BC8-700E6BC0DC4C;191076
Research article, currently under review in journal.;"Gisin, Nicolas; Pozas-Kerstjens, Alejandro; Tavakoli, Armin";arXiv:2105.09325;;https://arxiv.org/abs/2105.09325;ArXiv;Full network nonlocality;16AD2979-ACA7-4017-BAB2-77ADC39982D7;194800
"";"Ackermann, Martin; Dal Co, Alma; van Vliet, Simon";10.5683/SP2/CBVYXB;;https://doi.org/10.5683/SP2/CBVYXB;Scholars Portal Dataverse;Dataset for: Emergent microscale gradients give rise to metabolic cross-feeding and antibiotic tolerance in clonal bacterial populations;9B7A5DAE-855D-46FD-85FB-74F504162915;175123
"";"Cole, Theresa L.; Dussex, Nicolas; Ellenberg, Ursula; Houston, David M.; Mattern, Thomas; Miskelly, Colin M.; Morrison, Kyle W.; Rawlence, Nicolas J.; Scofield, R. Paul; Tennyson, Alan J.D.; Thompson, David R.; Waters, Jonathan M.; Wood, Jamie R.";10.1016/j.ympev.2018.10.025;2019-02-01T00:00:00Z;https://www.sciencedirect.com/science/article/abs/pii/S1055790318306274;Molecular Phylogenetics and Evolution;Ancient DNA of crested penguins: Testing for temporal genetic shifts in the world’s most diverse penguin clade;9CBE4964-2007-4289-9FD6-CE6AA8A6779D;165031
Floral features of some South African Iridaceae.;Plebani, Marco;https://orcid.org/0000-0001-7064-6550;;https://figshare.com/s/454c6de6296e26443f3e;Figshare;Floral features of some South African Iridaceae;1C9FA29B-CD08-4670-A5F6-CD3104DE62F4;164963
New calcite U-Pb geochronologic, biostratigraphic, and geochemical data from rocks sampled in the Texas Beds, New England Orogen (Eastern Australia). Paper published in Communications Earth & Environment: https://doi.org/10.1038/s43247-022-00446-1.;Andjic, Goran;https://doi.org/10.5281/zenodo.6393843;2022-03-29T00:00:00Z;https://doi.org/10.5281/zenodo.6393843;Zenodo;Paleozoic ocean plate stratigraphy unraveled by calcite U-Pb dating of basalt and biostratigraphy;E6E8E767-F313-4E74-A35E-C8D83D3A60A7;178098
Data for the publication Valuation and Estimation from Experience.;Olschewski, Sebastian;10.17605/OSF.IO/EHKUZ;;https://osf.io/ehkuz/;osf;Valuation and Estimation from Experience;0D441609-08FE-42BD-B1F3-78E6DF0E989F;188188
Data sets for analysis and visualization pipelines for screening the capacity of common gut bacteria to metabolize oral drugs.;"Goodman, Andrew; Wegmann, Rebekka; Zimmermann, Michael; Zimmermann-Kogadeeva, Maria";10.6084/m9.figshare.8119058;2019-06-14T00:00:00Z;https://figshare.com/articles/Mapping_human_microbiome_drug_metabolism_by_gut_bacteria_and_their_genes/8119058;FigShare;Mapping human microbiome drug metabolism by gut bacteria and their genes;1FAC43D1-AE3D-4287-9536-727CDA5F4DD7;178482
Transcriptional profiles of wildtype and mutant strains bt0700 and bt0700 bt3998 (ppGpp0) of human gut commensal B. thetaiotaomicron were collected to investigate the relevance of the stringent response mediated by the alarmone (p)ppGpp for growth and survival in three different conditions. RNAseq samples were taken during growth in glucose minimal medium, after 1h of carbon starvation, and after 6 days of monocolonizing germ-free mice (from cecum material).;"Goodman, Andrew; Schofield, Whitman; Zimmermann-Kogadeeva, Maria";E-MTAB-6412;2018-07-04T00:00:00Z;https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6412/;ArrayExpress;RNAseq of the human gut commensal Bacteroides thetaiotaomicron wildtype, bt0700 and bt0700 bt3998 (ppGpp0) strains across three conditions;A3AAF6BE-14F5-41A2-A10D-CD8E2C660D50;178482
"";"Gale, Jessica; Verkuyten, Maykel; Yogeeswaran, Kumar";10.17632/39hgb83sv9.1;;https://doi.org/10.17632/39hgb83sv9.1;Mendeley Data;Data for: Bridging (identification) divides: Ethnic minority endorsement of new diversity ideologies;DECE500D-3601-49CD-A173-CF3DD76577C2;187707
This dataset contains synchronized left and right, IR illuminated eye data from 27 subjects. The data was collected using DAVIS 364b sensors from iniVation. For additional details regarding setup and data collection, please refer to Section 4 of the associated paper.;"Angelopoulous, Anastasios; Conradt, Jorg; Kohli, Amit; Martel, Julien; Wetzstein, Gordon";----------------;2020-08-20T00:00:00Z;https://github.com/aangelopoulos/event_based_gaze_tracking;GitHub;Event-based eye-tracking Dataset;FAE66981-0276-4D7C-8D14-FACBEC92A599;181817
Quantification of TiO 2 engineered particles in surface waters receiving untreated sewage spills.;"Baalousha, Mohammed; Bizimis, Michael; Borovinskaya, Olga; Flamigni, Luca; Loosli, Frédéric; Rothenberg, Sarah; Wang, Jingjing; Winkler, Christopher";DOI;2019-03-14T00:00:00Z;https://zenodo.org/record/4017844#.X1ZX3Ys682w;Zenodo;Sewage spills are a major source of titanium dioxide engineered (nano)-particle release into the environment;1ECF0978-038F-4E4C-9DDC-5655E9B68762;165046
"";"Afshinnia, Kamelia; Baalousha, Mohammed; Loosli, Frédéric; Sikder, Mithun; Wang, Jingjing";DOI;2020-01-28T00:00:00Z;https://zenodo.org/record/4017869#.X1Zbt4s682w;Zenodo;Analysis of engineered nanomaterials (Ag, CeO2 and Fe2O3) in spiked surface waters at environmentally relevant particle concentrations;9231E1BA-5B14-40B0-83AA-226A01D31B28;165046
"";Rohner, Patrick T.;https://doi.org./10.5061/dryad.xd2547ddc;2020-06-24T00:00:00Z;https://doi.org./10.5061/dryad.xd2547ddc;Dryad;Evolution of multivariate wing allometry in schizophoran flies (Diptera: Schizophora);E516682E-DB3D-45D5-9226-4C6D94D7F6B1;184003
"";Liu, Wenfeng;10.5281/zenodo.2582433;2019-03-03T00:00:00Z;https://zenodo.org/record/1403207#.Xt497DozY-U;Zenodo;AgMIP's Global Gridded Crop Model Intercomparison (GGCMI) phase 1 output data set: PEPIC soy;CBBD2500-62D3-4648-AFF1-C65CEB835D43;175096
It is a plausible hypothesis that parallel adaptation events to the same environmental challenge should result in genetic changes of similar or identical effects, depending on the underlying fitness landscapes. However, systematic testing of this is scarce. Here we examine this hypothesis in two closely related plant species, Arabidopsis halleri and Arabidopsis arenosa, which co-occur at two calamine metalliferous (M) sites harbouring toxic levels of the heavy metals zinc and cadmium. We conduct individual genome resequencing alongside soil elemental analysis for 64 plants from eight populations on M and non-metalliferous (NM) soils, and identify genomic footprints of selection and local adaptation. Selective sweep and environmental association analyses indicate a modest degree of gene as well as functional network convergence, whereby the proximal molecular factors mediating this convergence mostly differ between site pairs and species. Notably, we observe repeated selection on identical single nucleotide polymorphisms in several A. halleri genes at two independently colonized M sites. Our data suggest that species-specific metal handling and other biological features could explain a low degree of convergence between species. The parallel establishment of plant populations on calamine M soils involves convergent evolution, which will probably be more pervasive across sites purposely chosen for maximal similarity in soil composition.;Sailer, Christian;10.5061/dryad.jg30j4v;2019-06-10T00:00:00Z;https://datadryad.org/stash/dataset/doi:10.5061/dryad.jg30j4v;Dryad;Data from: Convergent evolution in Arabidopsis halleri and Arabidopsis arenosa on calamine metalliferous soils;A6FED715-CD51-4591-BDF5-C4A5E38101A6;158773
"";"Chen, Yu-An; Du, Ziming; Gaglia, Giorgio; Lin, Jia-Ren; Maliga, Zoltan; Muhlich, Jeremy; Rashid, Rumana; Santagata, Sandro; Schapiro, Denis; Sokolov, Artem; Sorger, Peter; Yapp, Clarence";https://doi.org/10.7303/syn17865732;2019-12-17T00:00:00Z;https://doi.org/10.7303/syn17865732;Rashid et al. Sci Data Manuscript 2019;Highly multiplexed immunofluorescence images and single-cell data of immune markers in tonsil and lung cancer;FFAD09F3-2BE7-485D-ACC5-E40A4CA632D6;181475
4-cell embryo RNA sequencing data resulting from a cross between males exposed to early life stress and naive females;Gapp, Katharina;"E-MTAB-6587 ";2018-10-03T00:00:00Z;https://www.ebi.ac.uk/arrayexpress/experiments/;array express;4-cell embryo RNA sequencing data resulting from a cross between males exposed to early life stress and naive females;6DD1E6E6-D5A3-46D1-810E-6BA9D80EDA24;159096
"";Brunner, Mirco;10.17605/OSF.IO/9HZQ3;2021-04-17T00:00:00Z;https://www.doi.org/10.17605/OSF.IO/9HZQ3;OSF;Climate change, mobility and transformation. Humanenvironment interactions in (pre)historical societies of the Arctic;0FC1E2DD-3FFD-4C80-9565-E3F573927C1F;199868
"SUPPORTING INFORMATION accompanying the scientific article ""Quantifying carbon flows in Switzerland: top-down meets bottom-up modelling"" (Froemelt et al. 2021)";"Froemelt, Andreas; Geschke, Arne; Wiedmann, Thomas";10.1088/1748-9326/abcdd5;2021-01-06T00:00:00Z;https://iopscience.iop.org/article/10.1088/1748-9326/abcdd5;Environmental Research Letters (IOP Publishing Ltd);SUPPORTING INFORMATION: Quantifying carbon flows in Switzerland: top-down meets bottom-up modelling;12ECD672-E431-4898-8A9B-5D40B34716D5;184267
"Humoral immune responses require germinal centres (GC) for antibody affinity maturation. Within GC, B-cell proliferation and mutation are segregated from affinity-based positive selection in the dark zone (DZ) and light zone (LZ) substructures, respectively. While IL21 is known to be important in affinity maturation and GC maintenance, here we show it is required for both establishing normal zone representation and preventing the accumulation of cells in G1 cell cycle stage in the GC LZ.Wildtype and IL21 receptor deficient (Il21r-/-) mice were immunized with NP-KLH in alum. Germinal center B cells were extracted from spleens 7 days, 10 days and 14 days after immunization. RNA was extracted and profiled using RNA-seq. An Illumina HiSeq 2000 was used to generate 100bp single-end sequence reads. Each sample was generated from an independent mouse. ";Smyth, Gordon K;" GSE184475";2021-09-22T00:00:00Z;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184475;NCBI;RNA-seq profiles of germinal center B cells from spleens of wild-type and Il21r-deficient mice after immunization with NP-KLH;4712A8EC-07F8-474B-AC88-697CA2EBD8E9;164964
"";"Aguilera, Orangel A.; Carrillo, Juan D.; Carrillo-Briceño, Jorge D.; Sanchez-Villagra, Marcelo R.";10.7717/peerj.5313/supp-3;2018-07-20T00:00:00Z;https://dfzljdn9uc3pi.cloudfront.net/2018/5313/1/Table_S3.pdf;PeerJ;The fossil record of sharks and rays (genera) from Tropical America, tabulated by country.;B839822B-5642-4429-844A-824E827B9FBB;174749
"";"Aguilera, Orangel A.; Carrillo, Juan D.; Carrillo-Briceño, Jorge D.; Sanchez-Villagra, Marcelo R.";10.7717/peerj.5313/supp-1;2018-07-20T00:00:00Z;https://dfzljdn9uc3pi.cloudfront.net/2018/5313/1/Table_S1.pdf;PeerJ;Marine provinces of Tropical America and their geographic indicators.;5D62248E-896D-4F33-96D9-C6705B6C7546;174749
"";Kazemi, Ehsan;10.5281/zenodo.1493482;;https://github.com/ehsankazemi/MPROPER;github;MPROPER;47AAEB7C-2BBD-4C2B-A090-C9651780F084;168574
"This R code is associated with manuscript: ""Information arms race explains plant-herbivore chemical communication in ecological communities"". Pengjuan Zu, Karina Boege, Ek del-Val, Meredith C. Schuman, Philip C. Stevenson, Alejandro Zaldivar-Riveron, Serguei Saavedra. Science (2020).";ZU, PENGJUAN;https://zenodo.org/record/3743129;;https://zenodo.org/record/3743129;Zenodo;Science_Zu_et_al_2020: R code;EB5B5182-7246-472D-9F7A-7544E25DAB44;178087
"";"Baalousha, Mohammed; Loosli, Frédéric; Wang, Jingjing; Yi, Zebang";DOI;2019-08-01T00:00:00Z;https://zenodo.org/record/4017831#.X1ZTdYs682w;Zenodo;Improved extraction efficiency of natural nanomaterials in soils to facilitate their characterization using a multimethod approach;EF788BB9-0715-4573-B8D4-7BD4E01AF772;165046
"";"Baalousha, Mohammed; Berti, Debora; Loosli, Frédéric; Wang, Jingjing; Yi, Zebang";DOI;2019-08-08T00:00:00Z;https://zenodo.org/record/4017786#.X1ZPk4s682w;Zenodo;How to distinguish natural versus engineered nanomaterials: insights from the analysis of TiO2 and CeO2 in soils;27CEC659-FD5D-4CBF-B0B9-C3EF1D89D0D4;165046
"";Dal Zilio, Luca;https://doi.org/10.22002/D1.1388;2020-03-23T00:00:00Z;https://data.caltech.edu/records/1388;Structural evolution of orogenic wedges: interplay between erosion and weak décollements;"Dataset of ""Structural evolution of orogenic wedges: interplay between erosion and weak décollements""";267ED1F5-D57C-47F7-9E4A-FF7CF2C5F52F;184307
Although there is good evidence that social animals show elaborate cognitive skills to deal with others, there are few reports of animals physically using social agents and their respective responses as means to an end-social tool use. In this case study, we investigated spontaneous and repeated social tool use behavior in chimpanzees (Pan troglodytes). We presented a group of chimpanzees with an apparatus, in which pushing two buttons would release juice from a distantly located fountain. Consequently, any one individual could only either push the buttons or drink from the fountain but never push and drink simultaneously. In this scenario, an adult male attempted to retrieve three other individuals and push them toward the buttons that, if pressed, released juice from the fountain. With this strategy, the social tool user increased his juice intake 10-fold. Interestingly, the strategy was stable over time, which was possibly enabled by playing with the social tools. With over 100 instances, we provide the biggest data set on social tool use recorded among nonhuman animals so far. The repeated use of other individuals as social tools may represent a complex social skill linked to Machiavellian intelligence.;Schweinfurth, Manon;https://doi.org/10.17630/beac8dda-dbf3-4f17-9b3e-260d1a0fde92;2020-05-18T00:00:00Z;https://risweb.st-andrews.ac.uk/portal/en/datasets/spontaneous-social-tool-use-in-a-chimpanzee-dataset(beac8dda-dbf3-4f17-9b3e-260d1a0fde92).html;PURE, St Andrews;"Spontaneous social tool use in a chimpanzee ";93534DE1-96A1-4152-A0D6-744BBACF134C;175269
During navigation, animals estimate their position using path integration and landmarks, engaging many brain areas. Whether these areas follow specialized or universal cue integration principles remains incompletely understood. We combine electrophysiology with virtual reality to quantify cue integration across thousands of neurons in three navigation-relevant areas: primary visual (V1), retrosplenial (RSC) and medial entorhinal cortex (MEC). The data shared here contains receptive field locations of V1 neurons recorded in this study.Receptive_fields: Data from receptive field mapping experiments. Contains Folders for each Recording session. Each folder contains receptive field information for all ‘good’ units from VISp, from that particular recording. Data is contained in receptive_fields.mat with these fields:-good_cells: list of VISp cluster IDs for which receptive fields were attempted to extract-staMat: nRows x nCols x nRepetitions x nClusters spike triggered average of stimulus movie frames for each repetition of the stimulus movie-fields: for each cluster, contains a list with number of extracted receptive fields (can be 0 if no significant receptive field was detected). Relevant variables are:-field_sign: +/-1 for on/off field-PixelList: list of significant pixels-mu: (x/y) coordinates of center of receptive fields-sig: 2D covariance matrix of gaussian fit-xy: list of x,y coordinates of ellipse for plotting-area: area of ellipse;Attinger, Alexander;https://doi.org/10.25452/figshare.plus.15050289.v1;2021-07-28T00:00:00Z;https://doi.org/10.25452/figshare.plus.15050289.v1;Figshare;"Receptive Field Locations of V1 neurons, supporting ""Distance-tuned neurons drive specialized path integration calculations in medial entorhinal cortex""";10332501-74C3-4255-8BBA-6051DB16E172;191076
The files contain the experimental data that are shown in the figures of the main text and of the supporting information of the article:B. Dereka, I. Fureraj, A. Rosspeintner, and E. Vauthey, 'Halogen-Bond Assisted Photoinduced Electron Transfer', Molecules, 24 (2019), 4361, https://www.mdpi.com/1420-3049/24/23/4361/htm;"Dereka, Bogdan; Fureraj, Ina; Vauthey, Eric";10.5281/zenodo.3528207;2019-12-29T00:00:00Z;https://zenodo.org/record/3528207#.X9UdtmQzbRQ;Zenodo;Halogen-Bond Assisted Photoinduced Electron Transfer;BBB9AABE-D444-47CB-A83B-E5D3E1D5ADF9;180765
"";Triki, Zegni;https://doi.org/10.6084/m9.figshare.17091572.v1;;https://doi.org/10.6084/m9.figshare.17091572.v1;Figshare;Data from: A proposal to enhance data quality and FAIRness;5235CF03-F9BB-47A1-B3B8-5F504896108C;199286
"";"Anderson, Eric; Clegg, Sonya; Coulson, Tim; Quilodrán, Claudio; Ruegg, Kristen; Sendell-Price, Ashley; Underwood, Vinh; Van Doren, Benjamin";10.25387/g3.12482000;2020-07-13T00:00:00Z;https://gsajournals.figshare.com/articles/figure/Supplemental_Material_for_Sendell-Price_et_al_2020/12482000;Figshare;Supplemental Material for Sendell-Price et al., 2020;2807C034-E8C0-4C10-8191-635D548DB0B5;183930
"This data set contains salinity measurements from discrete seawater samples that were collected in the Southern Ocean (south of 30deg S) during the Antarctic Circumnavigation Expedition (ACE). 657 samples were collected during the period December 24th, 2016 and March 18th, 2017 in the Southern Ocean from the surface ocean using the ship's underway line (UW; 328 samples) and in vertical profiles using Niskin bottles mounted on the CTD rosette (273 samples). A few additional samples (56) were collected from a parallel cast with a trace-metal rosette, with a bucket, and as duplicates to ensure data quality. All samples were analyzed for their salinity and results are reported on the Practical Salinity Scale 1978 (PSS-78; Sea-Bird Electronics, Inc., 1989). Measurements were performed on a Guildline Autosal Laboratory Salinometer 8400(B) at CSIRO (Hobart, Australia) for samples collected during leg 1, and on a OPTIMARE Precision Salinometer (OPS) at the Alfred Wegener Institute (Bremerhaven, Germany) for samples collected during legs 2 and 3. This circumpolar data set provides insights into the hydrological cycle of the Southern Ocean and the processes (precipitation, evaporation, sea-ice melting and freezing, ice-berg and land-ice melting) that determine the salinity of a certain water mass. It is being used to calibrate the CTD sensor vertical profiles (Henry et al., 2020) and thermosalinograph sensor underway measurements (Haumann et al., 2020) from the ACE cruise.";"Budéus, Gereon; Gorodetskaya, Irina V.; Haumann, F. Alexander; Hutchings, Jennifer; Leonard, Katherine; Meredith, Michael P.; Stammerjohn, Sharon; Thomas, Jenny; Tsukernik, Maria";10.5281/zenodo.1494924;2020-10-19T00:00:00Z;https://doi.org/10.5281/zenodo.1494924;Zenodo;Seawater salinity sample measurements from the Antarctic Circumnavigation Expedition (ACE);125653DE-41AA-42CC-ADDD-6D52269B2AF1;186681
This data set contains measurements from various sensors mounted on the Conductivity, Temperature, Depth (CTD) rosette that was deployed in the Southern Ocean during the Antarctic Circumnavigation Expedition (ACE). 63 CTD casts were carried out during three legs in the period 21st December 2016 to 16th March 2017, including one test cast and one failed cast, for which no data is available. Data include temperature, salinity, pressure, dissolved oxygen, oxygen saturation, chlorophyll-a concentration, backscatter, and photosynthetically active radiation (PAR) and reported are also the computed variables density, depth, and sound velocity. All data has been quality controlled and post-cruise calibrated, except for the oxygen data. Data is provided at 1 dbar pressure intervals for the up- and down-casts separately and as a merged bottle file when Niskin bottles were closed. This circumpolar data set provides insights into the circumpolar hydrography and biogeochemistry of the Southern Ocean during one austral summer season.;"Haumann, F. Alexander; Henry, Tahlia; Hutchings, Jennifer; Leonard, Katherine; Robinson, Charlotte; Schuback, Nina; Thomas, Jenny; Tsukernik, Maria";10.5281/zenodo.3247384;2019-09-17T00:00:00Z;https://doi.org/10.5281/zenodo.3247384;Zenodo;Physical and biogeochemical oceanography data from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE);5F59844E-8889-4EF3-AAE7-D2449B041C0D;186681
Streamflow regime classes identified for the 671 stations in the CAMELS dataset (United States) using functional data analysis: (1) intermittent regime, (2) strong winter regime, (3) weak winter regime, (4) melt regime, and (5) New Year's regime. The textfile contains a table with the USGS gauge ID of each catchment in the CAMELS dataset and their regime class (1-5). More information on the CAMELS dataset can be found in Newman et al. (2015) and Addor et al. (2017). A detailed description on how the regime classes were derived can be found in Brunner et al. (2020).;Brunner, Manuela Irene;10.4211/hs.069f552f96ef4e638f4bec281c5016ad;2020-04-20T00:00:00Z;https://www.hydroshare.org/resource/069f552f96ef4e638f4bec281c5016ad/;HydroSHARE;Streamflow regimes for CAMELS dataset;EB0B1AAC-495B-491E-96B4-6E96C0474FBF;183844
